0,Passenger Plate Default,Tennessee,,,Does not use the Letter “O” on their standard license plates. Both the Letter “O” and Number Zero “0” are used on our Specialty Tags and Temporary Operating Permits.,,,,,"*FLAT designated plates are printed, not pressed.",,
,Ducks Unlimited,Pressed,Flat,,Y,N,N,N,Y,Y- Organization logo at left of plate.,N,N
,East Tennessee Children's Hospital,,,,Y,N,N,N,Y,Y- Organization logo at left of plate; 'We Get Kids' banner at bottom.,N,N
,East Tennessee State University,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Elvis Presley Memorial Trauma Center,,,,Y,N,N,N,Y,Y- Elvis logo at left of plate.,N,N
,Emergency,2001-2011,Since 2012,,Y,N,N,Y - Vertical characters must be verified as seen.,Y,Y - Emergency appears across bottom of plate.,N,N
,Emergency Trauma Physician,,,,Y,N,N,N,Y,Y- Medical logo at left of plate.,N,N
,Explore TN,,,,Y,N,N,N,Y,Y- Jeep logo at left of plate.,N,N
,Firefighter IAFF,2001-2009,Since 2010,,Y,N,N,N,Y,Y- Organization logo at left of plate.,N,N
,Firefighter,2001-2006,Since 2007,,Y,N,N,N,Y,Y- Registration contains an 'F'.,N,N
,Firefighter Motorcycle,,,,Y,N,N,Y - Vertical characters must be verified as seen.,Y,Y - Smaller Plate size. Firefighter appears on bottom  of plate. Plate starts with F.,Y - Motorcycle,N
,Fish,Pressed,Flat,,Y,N,N,N,Y,N,N,N
,Florida State University,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Fraternal Order of Police,Associate Member,Active Member,,Y,N,N,N,Y,Y- Organization logo on plate.,N,N
,Freed Hardeman University,,,,Y,N,N,N,Y,N,N,N
,Friends of Great Smoky Mountains,,,,Y,N,N,N,Y,Y- Series title at left of plate; 'Preserve & Protect Our National Park' on bottom.,N,N
,Friends of Shelby Bottom,,,,N,N,N,N,Y,N,N,N
,Friends of the Smokies,,,,Y,N,N,N,Y,Y- Bear logo at left of plate.,N,N
,Georgia Tech,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Gold Star Family,,,,Y,N,N,N,Y,Y- Gold Star logo at left of plate.,N,N
,Govt. Service,,,,Y,N,N,N,Y,N,N,N
,Harpeth River Watershed,,,,Y,N,N,N,Y,Y- Canoeing Family logo at left of plate; 'Protecting Rivers and Clean Water' on bottom.,N,N
,Hearing Impaired,,,,Y,N,N,N,Y,N,N,N
,Historic Franklin,,,,Y,N,N,N,Y,N,N,N
,Honorably Discharged Veteran,,,,Y,N,N,N,Y,Y- American Flag logo at left of plate.,N,N
,House,,,,Y,N,N,N,Y,Y - HOUSE appears across bottom of plate.,N,N
,Imp. Hendersonville,,,,N,N,N,N,Y,N,N,N
,In God We Trust,Type I,Type II,Type III,Y,N,N,N,Y,Y- 'IN GOD WE TRUST' on plate.,N,N
,Indiana University,Pressed,Flat,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Jackson State University,,,,Y,N,N,N,Y,Y- School logo at left of plate; 'THEE I LOVE' at bottom.,N,N
,Joint Commercial Farm,,Farm or Private,,Y,N,N,Y - Vertical characters must be verified as seen.,Y,Y - Weight class appear across bottom of plate. Plate starts with Vertical J.,N,N
,Judiciary,,,,Y,N,N,N,Y,Y - Judiciary appears across the bottom of the plate.,N,N
,Kappa Alpha Psi,,,,Y,N,N,N,Y,Y- Sorority logo at left of plate.,N,N
,King University,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Korean Defense Service Medal,,,,Y,N,N,N,Y,Y- Medal logo at left of plate.,N,N
,Korean War Era Veteran,,,,Y,N,N,N,Y,Y- American Flag logo at center of plate.,N,N
,Korean War Veteran,,,,Y,N,N,N,Y,Y- American Flag logo at left of plate.,N,N
,Lane College,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Le Bonheur Children's Hospital,,,,Y,N,N,N,Y,Y- Heart logo at left of plate.,N,N
,Lee University,,,,Y,N,N,N,Y,Y- School logo at center of plate.,N,N
,Legion of Merit Medal,,,,Y,N,N,N,Y,Y- Medal logo at left of plate.,N,N
,LeMoyne-Owen College,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Lincoln Memorial University,Lincoln Mem Univ,,,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag,N,N
,Linemen Power Tennessee,,,,Y,N,N,N,Y,Y- Organization logo at left of plate.,N,N
,Lipscomb University,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Manufacturer / Transporter,2018-2019,Since 2020 Type I,Since 2020 Type II,Y,N,N,N,Y,Y- 'Manufacturer' at bottom of plate on Type II.,N,N
