0,Live the Golden Rule,2003-2008,Since 2009,,Y,N,N,N,Y,N,N,N
0,Manufacture Test,,,,Y,N,N,N,Y,N,N,N
0,Manufacturer,1969-1972,1973-1990,1991-1999,Y,N,N,N,Y,N,N,N
0,Manufacturer,2000-2001,Since 2002,,Y,N,N,N,Y,N,N,N
0,Medal of Honor,,,,Y,N,N,N,Y,N,N,N
0,Midwestern University,,,,Y,N,N,N,Y,N,N,N
0,Moped,2009-2016,Since 2017,,Y,N,N,N,Y,N,N,N
0,Motorcycle Dealer,1994-1995,1996-1997,1998-2013,Y,N,N,Y-Key all Verticals,Y,N,N,N
0,Motorcycle Dealer,Since 2014,,,Y,N,N,Y-Key all Verticals,Y,N,N,N
0,Motorcycle,1980-1995,1996-2007,2008-2018,Y,N,N,N,Y,N,Y - Vehicle will be a motorcycle.,N
0,Motorcycle,Since 2019,Temporary,,Y,N,N,N,Y,N,Y - Vehicle will be a motorcycle.,N
0,National Guard ,1996-2007,Since 2008,,Y,N,N,N,Y,Y - National Guard Icon is on the left side of the plate.,N,N
0,Navajo Nation,,Vanity 2003-2007,Vanity Since 2008,Y,N,N,N,Y,N,N,N
0,Non-Commercial Truck,,,,Y,N,N,N,Y,N,N,N
0,Northern Arizona University,1989-1998,1999-2009,2010-2023,Y,N,N,N,Y,N,N,N
0,Northern Arizona University,Since 2024,,,Y,N,N,N,Y,N,N,N
0,Passenger,1980-1995,1996-2007,2008-2020,Y,N,N,N,Y,N,N,N
0,Passenger,Since 2021,,,Y,N,N,N,Y,N,N,N
0,Pearl Harbor Survivor,,,,Y,N,N,N,Y,N,N,N
0,Pets Enrich our Lives,2006-2011,Since 2012,,Y,N,N,N,Y,N,N,N
0,Phoenix International Raceway,,,,Y,N,N,N,Y,N,N,N
0,Phoenix Suns,2009-2014,Since 2015,,Y,N,N,N,Y,N,N,N
0,Public Safety,,,,Y,N,N,N,Y,N,N,N
0,Purple Heart,1993-1994,1995-2010,Since 2011,Y,N,N,N,Y,N,N,N
0,Route 66,,,,Y,N,N,N,Y,N,N,N
0,San Carlos Apache,2007,Since 2008 Vanity,,Y,N,N,N,Y,Y- Tribal Icon on the left side of the plate.,N,N
0,Save Lives,2006-2007,Since 2008,,Y,N,N,N,Y,N,N,N
0,Small Trailer,Since 2006,Permanent,,Y,N,N,N,Y,N,N,N
0,Speciality Plate,,,,Y,N,N,N,Y,N,N,N
0,Sound of Freedom,,,,Y,N,N,N,Y,N,N,N
0,State Forty-Eight,,,,Y,N,N,N,Y,N,N,N
0,Street Rod,1980-1995,1996-2001,Since 2002,Y,N,N,N,Y,N,N,N
0,Support Firefighter Training,,,,Y,N,N,N,Y,N,N,N
0,Support our School,,,,Y,N,N,N,Y,N,N,N
0,Taxi,,,,Y,N,N,N,Y,N,Y - Vehicle will be a Taxi.,N
0,Temporary,1998-2012,2013,2014-2017,Y,N,N,N,Y,N,N,N
0,Temporary,2018-2020,Since 2021,,Y,N,N,N,Y,N,N,N
0,Thunderbird School of Global Management,,,,Y,N,N,N,Y,Y- Thunderbird Icon on the left side of the plate.,N,N
0,Trailer Dealer,,,,Y,Y-Plate begins with 'TR',N,N,Y,Y - 'VEHICLE DEALER' is on bottom of the plate.,Y - Vehicle will be a trailer.,N
0,Trailer,1980-1995,1996-2007,2008-2015,Y,N,N,N,Y,N,Y - Vehicle will be a trailer.,N
0,Trailer,Since 2016,,,Y,N,N,N,Y,N,Y - Vehicle will be a trailer.,N
0,Transporter,1996-2007,2008-2019,Since 2020,Y,Y-Plate begins with 'XP',N,N,Y,N,N,N
0,Truck Tractor,1980-1996,Since 1997,,Y,Y-Plate begins with '4T',N,N,Y,N,N,N
0,University of Arizona,1992-2001,2002-2011,Since 2012,Y,N,N,N,Y,Y- UA Icon on the left side of the plate.,N,N
0,University of Phoenix,,,,Y,N,N,Y-Key all Verticals,Y,N,N,N
0,US Marine Corps,,,,Y,N,N,N,Y,N,N,N
0,Veteran,1998-2005,2006-2008,Since 2009,Y,N,N,N,Y,N,N,N
0,Veteran,Handicapped,,,Y,N,N,N,Y,N,N,N
0,White Mountain Apache,,,,Y,N,N,N,Y,Y- Tribal Icon on the left side of the plate.,N,N
0,Women Veteran,,,,Y,N,N,N,Y,Y- Woman Soldier Icon on the left side of the plate.,N,N
